semantic_object,object_vlm_type,material_id,canonical_name,candidate_vlm_type_norm,material_type_norm,absorption_level,alpha_mid,alpha_high,source_group,source_material_name,a125,a250,a500,a1000,a2000,a4000,a8000,sampling_policy
wall,wall,odeon_gypsum_knauf_contur_600175,Knauf - Contur+ - NRC: 0.05 - Use: All suspension without mineral wool,acoustic_treatment,perforated_panel_absorber,reflective,0.0667,0.05,odeon,Contur+,0.4,0.2,0.1,0.05,0.05,0.05,0.0,"Default residential wall: reflective/semi_reflective gypsum/plaster/concrete. Use absorptive/highly_absorptive only when VLM detects acoustic panel, soft wall, or heavy wall treatment."
wall,wall,odeon_gypsum_knauf_corridor_e30e4a,Knauf - Corridor - NRC: 0.05 - Use: All suspension without mineral wool,acoustic_treatment,perforated_panel_absorber,reflective,0.0667,0.05,odeon,Corridor,0.4,0.2,0.1,0.05,0.05,0.05,0.0,"Default residential wall: reflective/semi_reflective gypsum/plaster/concrete. Use absorptive/highly_absorptive only when VLM detects acoustic panel, soft wall, or heavy wall treatment."
wall,wall,wall_smooth_brickwork_10mm_pointing,"smooth brickwork, 10 mm deep pointing, pit sand mortar",wall,hard_masonry_reflective,semi_reflective,0.1667,0.2333,pyroom,smooth_brickwork_10mm_pointing,0.08,0.09,0.12,0.16,0.22,0.24,0.24,"Default residential wall: reflective/semi_reflective gypsum/plaster/concrete. Use absorptive/highly_absorptive only when VLM detects acoustic panel, soft wall, or heavy wall treatment."
wall,wall,wall_wooden_lining,"wooden lining, 12 mm fixed on frame",wall,wood_panel,semi_reflective,0.1567,0.0767,pyroom,wooden_lining,0.27,0.23,0.22,0.15,0.1,0.07,0.06,"Default residential wall: reflective/semi_reflective gypsum/plaster/concrete. Use absorptive/highly_absorptive only when VLM detects acoustic panel, soft wall, or heavy wall treatment."
wall,wall,odeon_mineral_wool_ecophon_ecophon_focus_ds_gamma_ce0b7d,Ecophon - Focus Ds/gamma - Configuration: 200 mm overall depth of construction - Absorption class: E,acoustic_treatment,porous_fiber_absorber,semi_reflective,0.2833,0.25,odeon,Focus Ds/gamma,0.5,0.25,0.2,0.4,0.25,0.25,0.0,"Default residential wall: reflective/semi_reflective gypsum/plaster/concrete. Use absorptive/highly_absorptive only when VLM detects acoustic panel, soft wall, or heavy wall treatment."
wall,wall,odeon_mineral_wool_ecophon_ecophon_master_rigid_dp_gamma_20_mm_e4a30d,Ecophon - Master Rigid Dp / gamma 20 mm - Configuration: 200 mm overall depth of construction - Absorption class: E,acoustic_treatment,porous_fiber_absorber,semi_reflective,0.2333,0.175,odeon,Master Rigid Dp / gamma 20 mm,0.4,0.25,0.15,0.35,0.2,0.15,0.0,"Default residential wall: reflective/semi_reflective gypsum/plaster/concrete. Use absorptive/highly_absorptive only when VLM detects acoustic panel, soft wall, or heavy wall treatment."
wall,wall,odeon_mineral_wool_ecophon_ecophon_master_rigid_e_gamma_20_mm_a8bc15,Ecophon - Master Rigid E / gamma 20 mm - Configuration: 200 mm overall depth of construction - Absorption class: E,acoustic_treatment,porous_fiber_absorber,semi_reflective,0.25,0.2,odeon,Master Rigid E / gamma 20 mm,0.45,0.3,0.2,0.35,0.2,0.2,0.0,"Default residential wall: reflective/semi_reflective gypsum/plaster/concrete. Use absorptive/highly_absorptive only when VLM detects acoustic panel, soft wall, or heavy wall treatment."
wall,wall,odeon_mineral_wool_rockfon_rockfon_sonar_bas_8c6ab9,ROCKFON - Sonar Bas - Thickness [mm]: 20 - ISO_Class: E,acoustic_treatment,porous_fiber_absorber,semi_reflective,0.1833,0.225,odeon,Sonar Bas,0.35,0.25,0.15,0.15,0.25,0.2,0.0,"Default residential wall: reflective/semi_reflective gypsum/plaster/concrete. Use absorptive/highly_absorptive only when VLM detects acoustic panel, soft wall, or heavy wall treatment."
wall,wall,odeon_wood_vicoustic_vicoustic_multifuser_dc_2_e4b718,Vicoustic - Multifuser DC 2 - Thickness [cm]: 14.7 - ISO_Class: E,acoustic_treatment,wood_panel,semi_reflective,0.2833,0.205,odeon,Multifuser DC 2,0.02,0.09,0.18,0.4,0.27,0.14,0.0,"Default residential wall: reflective/semi_reflective gypsum/plaster/concrete. Use absorptive/highly_absorptive only when VLM detects acoustic panel, soft wall, or heavy wall treatment."
wall,wall,odeon_wood_vicoustic_vicoustic_multifuser_dc_2_3ecdd0,Vicoustic - Multifuser DC 2 - manufacturer absorption,acoustic_treatment,wood_panel,semi_reflective,0.2833,0.205,odeon,Multifuser DC 2,0.02,0.09,0.18,0.4,0.27,0.14,0.0,"Default residential wall: reflective/semi_reflective gypsum/plaster/concrete. Use absorptive/highly_absorptive only when VLM detects acoustic panel, soft wall, or heavy wall treatment."
wall,wall,odeon_wood_vicoustic_vicoustic_poly_wood_fuser_cherry_fe90b0,Vicoustic - Poly Wood Fuser Cherry - Thickness [cm]: 13.7 - ISO_Class: E,acoustic_treatment,wood_panel,semi_reflective,0.2033,0.105,odeon,Poly Wood Fuser Cherry,0.34,0.27,0.31,0.19,0.11,0.1,0.0,"Default residential wall: reflective/semi_reflective gypsum/plaster/concrete. Use absorptive/highly_absorptive only when VLM detects acoustic panel, soft wall, or heavy wall treatment."
wall,wall,odeon_wood_vicoustic_vicoustic_poly_wood_fuser_cherry_970f66,Vicoustic - Poly Wood Fuser Cherry - manufacturer absorption,acoustic_treatment,wood_panel,semi_reflective,0.2033,0.105,odeon,Poly Wood Fuser Cherry,0.34,0.27,0.31,0.19,0.11,0.1,0.0,"Default residential wall: reflective/semi_reflective gypsum/plaster/concrete. Use absorptive/highly_absorptive only when VLM detects acoustic panel, soft wall, or heavy wall treatment."
wall,wall,odeon_wood_vicoustic_vicoustic_poly_wood_fuser_nordik_light_brown_6aae55,Vicoustic - Poly Wood Fuser Nordik / Light Brown - Thickness [cm]: 13.7 - ISO_Class: E,acoustic_treatment,wood_panel,semi_reflective,0.2733,0.15,odeon,Poly Wood Fuser Nordik / Light Brown,0.45,0.51,0.37,0.28,0.17,0.13,0.0,"Default residential wall: reflective/semi_reflective gypsum/plaster/concrete. Use absorptive/highly_absorptive only when VLM detects acoustic panel, soft wall, or heavy wall treatment."
wall,wall,odeon_wood_vicoustic_vicoustic_poly_wood_fuser_nordik_light_brown_073cc7,Vicoustic - Poly Wood Fuser Nordik / Light Brown - manufacturer absorption,acoustic_treatment,wood_panel,semi_reflective,0.2733,0.15,odeon,Poly Wood Fuser Nordik / Light Brown,0.45,0.51,0.37,0.28,0.17,0.13,0.0,"Default residential wall: reflective/semi_reflective gypsum/plaster/concrete. Use absorptive/highly_absorptive only when VLM detects acoustic panel, soft wall, or heavy wall treatment."
wall,wall,odeon_wood_vicoustic_vicoustic_poly_wood_fuser_white_black_0bca23,Vicoustic - Poly Wood Fuser White / Black - Thickness [cm]: 13.7 - ISO_Class: E,acoustic_treatment,wood_panel,semi_reflective,0.26,0.13,odeon,Poly Wood Fuser White / Black,0.46,0.48,0.37,0.27,0.14,0.12,0.0,"Default residential wall: reflective/semi_reflective gypsum/plaster/concrete. Use absorptive/highly_absorptive only when VLM detects acoustic panel, soft wall, or heavy wall treatment."
wall,wall,odeon_wood_vicoustic_vicoustic_poly_wood_fuser_white_black_7f2878,Vicoustic - Poly Wood Fuser White / Black - manufacturer absorption,acoustic_treatment,wood_panel,semi_reflective,0.26,0.13,odeon,Poly Wood Fuser White / Black,0.46,0.48,0.37,0.27,0.14,0.12,0.0,"Default residential wall: reflective/semi_reflective gypsum/plaster/concrete. Use absorptive/highly_absorptive only when VLM detects acoustic panel, soft wall, or heavy wall treatment."
wall,wall,odeon_wood_vicoustic_vicoustic_pulsar_fuser_da_8f5199,Vicoustic - Pulsar Fuser DA - manufacturer absorption,acoustic_treatment,wood_panel,semi_reflective,0.2633,0.65,odeon,Pulsar Fuser DA,0.01,0.04,0.06,0.16,0.57,0.73,0.0,"Default residential wall: reflective/semi_reflective gypsum/plaster/concrete. Use absorptive/highly_absorptive only when VLM detects acoustic panel, soft wall, or heavy wall treatment."
wall,wall,acoustic_treatment_facing_brick,"facing-brick brickwork, open butt joins, brick dimensions 230 × 50 × 55 mm",wall,hard_masonry_reflective,absorptive,0.3833,0.335,pyroom,facing_brick,0.04,0.14,0.49,0.35,0.31,0.36,0.0,"Default residential wall: reflective/semi_reflective gypsum/plaster/concrete. Use absorptive/highly_absorptive only when VLM detects acoustic panel, soft wall, or heavy wall treatment."
wall,wall,microperforated_glass_sheets,"microperforated glass sheets, 5 mm cavity",acoustic_treatment,perforated_panel_absorber,absorptive,0.4167,0.075,pyroom,microperforated_glass_sheets,0.1,0.45,0.85,0.3,0.1,0.05,0.0,"Default residential wall: reflective/semi_reflective gypsum/plaster/concrete. Use absorptive/highly_absorptive only when VLM detects acoustic panel, soft wall, or heavy wall treatment."
wall,wall,odeon_mineral_wool_ecophon_ecophon_focus_a_gamma_e65164,Ecophon - Focus A/gamma - Configuration: 200 mm overall depth of construction - Absorption class: D,acoustic_treatment,porous_fiber_absorber,absorptive,0.35,0.225,odeon,Focus A/gamma,0.55,0.4,0.5,0.35,0.2,0.25,0.0,"Default residential wall: reflective/semi_reflective gypsum/plaster/concrete. Use absorptive/highly_absorptive only when VLM detects acoustic panel, soft wall, or heavy wall treatment."
wall,wall,odeon_mineral_wool_ecophon_ecophon_focus_a_gamma_with_extra_bass_d117ba,Ecophon - Focus A/gamma with extra Bass - Configuration: 200 mm overall depth of construction - Absorption class: D,acoustic_treatment,porous_fiber_absorber,absorptive,0.35,0.225,odeon,Focus A/gamma with extra Bass,0.7,0.4,0.45,0.4,0.2,0.25,0.0,"Default residential wall: reflective/semi_reflective gypsum/plaster/concrete. Use absorptive/highly_absorptive only when VLM detects acoustic panel, soft wall, or heavy wall treatment."
wall,wall,odeon_mineral_wool_ecophon_ecophon_focus_ds_gamma_with_extra_bass_60ab11,Ecophon - Focus Ds/gamma with Extra Bass - Configuration: 200 mm overall depth of construction - Absorption class: E,acoustic_treatment,porous_fiber_absorber,absorptive,0.3,0.25,odeon,Focus Ds/gamma with Extra Bass,0.6,0.3,0.2,0.45,0.25,0.25,0.0,"Default residential wall: reflective/semi_reflective gypsum/plaster/concrete. Use absorptive/highly_absorptive only when VLM detects acoustic panel, soft wall, or heavy wall treatment."
wall,wall,odeon_mineral_wool_ecophon_ecophon_gedina_a_gamma_4370e5,Ecophon - Gedina A/gamma - Configuration: 15 mm thickness - Absorption class: D,acoustic_treatment,porous_fiber_absorber,absorptive,0.3333,0.225,odeon,Gedina A/gamma,0.5,0.4,0.3,0.45,0.25,0.2,0.0,"Default residential wall: reflective/semi_reflective gypsum/plaster/concrete. Use absorptive/highly_absorptive only when VLM detects acoustic panel, soft wall, or heavy wall treatment."
wall,wall,odeon_mineral_wool_ecophon_ecophon_master_rigid_a_gamma_450f56,Ecophon - Master Rigid A / Gamma - Configuration: 20 mm thickness - Absorption class: D,acoustic_treatment,porous_fiber_absorber,absorptive,0.3167,0.2,odeon,Master Rigid A / Gamma,0.6,0.35,0.4,0.35,0.2,0.2,0.0,"Default residential wall: reflective/semi_reflective gypsum/plaster/concrete. Use absorptive/highly_absorptive only when VLM detects acoustic panel, soft wall, or heavy wall treatment."
wall,wall,odeon_mineral_wool_ecophon_ecophon_solo_baffle_c600_56a6a0,Ecophon - Solo Baffle - c600 - Configuration: 200 mm overall depth of construction - Absorption class: D,acoustic_treatment,porous_fiber_absorber,absorptive,0.5,0.55,odeon,Solo Baffle - c600,0.1,0.35,0.4,0.55,0.55,0.55,0.0,"Default residential wall: reflective/semi_reflective gypsum/plaster/concrete. Use absorptive/highly_absorptive only when VLM detects acoustic panel, soft wall, or heavy wall treatment."
wall,wall,odeon_mineral_wool_ecophon_ecophon_solo_baffle_c600_5ca040,Ecophon - Solo Baffle - c600 - Configuration: 300 mm overall depth of construction - Absorption class: D,acoustic_treatment,porous_fiber_absorber,absorptive,0.5833,0.675,odeon,Solo Baffle - c600,0.2,0.4,0.4,0.65,0.7,0.65,0.0,"Default residential wall: reflective/semi_reflective gypsum/plaster/concrete. Use absorptive/highly_absorptive only when VLM detects acoustic panel, soft wall, or heavy wall treatment."
wall,wall,odeon_mineral_wool_ecophon_ecophon_solo_baffle_40_mm_oriented_in_rows_8a1f41,Ecophon - Solo Baffle 40 mm oriented in rows cc 600 mm - Configuration: 300 mm overall depth of construction - Absorption class: C,acoustic_treatment,porous_fiber_absorber,absorptive,0.5667,0.65,odeon,Solo Baffle 40 mm oriented in rows cc 600 mm,0.2,0.4,0.4,0.65,0.65,0.65,0.0,"Default residential wall: reflective/semi_reflective gypsum/plaster/concrete. Use absorptive/highly_absorptive only when VLM detects acoustic panel, soft wall, or heavy wall treatment."
wall,wall,odeon_mineral_wool_ecophon_ecophon_solo_baffle_40_mm_oriented_in_rows_b13865,Ecophon - Solo Baffle 40 mm oriented in rows cc 800 mm - Configuration: 300 mm overall depth of construction - Absorption class: D,acoustic_treatment,porous_fiber_absorber,absorptive,0.5,0.55,odeon,Solo Baffle 40 mm oriented in rows cc 800 mm,0.15,0.35,0.4,0.55,0.55,0.55,0.0,"Default residential wall: reflective/semi_reflective gypsum/plaster/concrete. Use absorptive/highly_absorptive only when VLM detects acoustic panel, soft wall, or heavy wall treatment."
wall,wall,odeon_mineral_wool_ecophon_ecophon_solo_baffle_wave_c600_b30d9a,Ecophon - Solo Baffle Wave - c600 - Configuration: 200 mm overall depth of construction - Absorption class: D,acoustic_treatment,porous_fiber_absorber,absorptive,0.55,0.625,odeon,Solo Baffle Wave - c600,0.15,0.4,0.4,0.6,0.65,0.6,0.0,"Default residential wall: reflective/semi_reflective gypsum/plaster/concrete. Use absorptive/highly_absorptive only when VLM detects acoustic panel, soft wall, or heavy wall treatment."
wall,wall,odeon_mineral_wool_ecophon_ecophon_solo_baffle_zig_zag_c600_9c5774,Ecophon - Solo Baffle Zig Zag - c600 - Configuration: 200 mm overall depth of construction - Absorption class: D,acoustic_treatment,porous_fiber_absorber,absorptive,0.5333,0.6,odeon,Solo Baffle Zig Zag - c600,0.15,0.35,0.4,0.6,0.6,0.6,0.0,"Default residential wall: reflective/semi_reflective gypsum/plaster/concrete. Use absorptive/highly_absorptive only when VLM detects acoustic panel, soft wall, or heavy wall treatment."
wall,wall,odeon_mineral_wool_ecophon_ecophon_solo_baffle_oriented_in_rows_cc_400_dce96c,Ecophon - Solo Baffle oriented in rows cc 400 mm - Configuration: 200 mm overall depth of construction - Absorption class: D,acoustic_treatment,porous_fiber_absorber,absorptive,0.55,0.65,odeon,Solo Baffle oriented in rows cc 400 mm,0.15,0.4,0.4,0.6,0.65,0.65,0.0,"Default residential wall: reflective/semi_reflective gypsum/plaster/concrete. Use absorptive/highly_absorptive only when VLM detects acoustic panel, soft wall, or heavy wall treatment."
wall,wall,odeon_mineral_wool_ecophon_ecophon_solo_baffle_oriented_in_rows_cc_600_c9ac43,Ecophon - Solo Baffle oriented in rows cc 600 mm - Configuration: 200 mm overall depth of construction - Absorption class: D,acoustic_treatment,porous_fiber_absorber,absorptive,0.4667,0.525,odeon,Solo Baffle oriented in rows cc 600 mm,0.15,0.3,0.35,0.5,0.55,0.5,0.0,"Default residential wall: reflective/semi_reflective gypsum/plaster/concrete. Use absorptive/highly_absorptive only when VLM detects acoustic panel, soft wall, or heavy wall treatment."
wall,wall,mineral_wool_50mm_40kgm3,"50 mm mineral wool (40 kg/m3), glued to wall, untreated surface",wall,porous_fiber_absorber,highly_absorptive,0.6833,0.8833,pyroom,mineral_wool_50mm_40kgm3,0.15,0.7,0.6,0.6,0.85,0.9,0.9,"Default residential wall: reflective/semi_reflective gypsum/plaster/concrete. Use absorptive/highly_absorptive only when VLM detects acoustic panel, soft wall, or heavy wall treatment."
wall,wall,mineral_wool_50mm_70kgm3,50 mm mineral wool (70 kg/m3) 300 mm in front of wall,wall,porous_fiber_absorber,highly_absorptive,0.6667,0.6833,pyroom,mineral_wool_50mm_70kgm3,0.7,0.45,0.65,0.6,0.75,0.65,0.65,"Default residential wall: reflective/semi_reflective gypsum/plaster/concrete. Use absorptive/highly_absorptive only when VLM detects acoustic panel, soft wall, or heavy wall treatment."
wall,wall,acoustic_treatment_acoustical_plaster_25mm,"acoustical plaster, approx. 25 mm thick, 3.5 kg/m2/cm",wall,hard_masonry_reflective,highly_absorptive,0.6433,0.65,pyroom,acoustical_plaster_25mm,0.17,0.36,0.66,0.65,0.62,0.68,0.0,"Default residential wall: reflective/semi_reflective gypsum/plaster/concrete. Use absorptive/highly_absorptive only when VLM detects acoustic panel, soft wall, or heavy wall treatment."
wall,wall,panel_fabric_covered_6pcf,"fabric-covered panel, 6 pcf rockwool core",wall,fabric_textile_absorber,highly_absorptive,1.0,1.0,pyroom,panel_fabric_covered_6pcf,0.46,0.93,1.0,1.0,1.0,1.0,1.0,"Default residential wall: reflective/semi_reflective gypsum/plaster/concrete. Use absorptive/highly_absorptive only when VLM detects acoustic panel, soft wall, or heavy wall treatment."
wall,wall,panel_fabric_covered_8pcf,"fabric-covered panel, 8 pcf rockwool core",wall,fabric_textile_absorber,highly_absorptive,0.99,0.9767,pyroom,panel_fabric_covered_8pcf,0.21,0.66,1.0,1.0,0.97,0.98,0.98,"Default residential wall: reflective/semi_reflective gypsum/plaster/concrete. Use absorptive/highly_absorptive only when VLM detects acoustic panel, soft wall, or heavy wall treatment."
wall,wall,fibre_absorber_1,"fibre absorber, mineral fibre, 20 mm thick, 3.4 kg/m2, 50 mm cavity",wall,porous_fiber_absorber,highly_absorptive,0.7967,0.615,pyroom,fibre_absorber_1,0.2,0.56,0.82,0.87,0.7,0.53,0.0,"Default residential wall: reflective/semi_reflective gypsum/plaster/concrete. Use absorptive/highly_absorptive only when VLM detects acoustic panel, soft wall, or heavy wall treatment."
wall,wall,hanging_absorber_panels_1,"hanging absorber panels (foam), 400 mm depth, 400 mm distance",acoustic_treatment,foam_absorber,highly_absorptive,0.85,0.825,pyroom,hanging_absorber_panels_1,0.25,0.45,0.8,0.9,0.85,0.8,0.0,"Default residential wall: reflective/semi_reflective gypsum/plaster/concrete. Use absorptive/highly_absorptive only when VLM detects acoustic panel, soft wall, or heavy wall treatment."
wall,wall,hanging_absorber_panels_2,"hanging absorber panels (foam), 400 mm depth, 700 mm distance",acoustic_treatment,foam_absorber,highly_absorptive,0.6833,0.7,pyroom,hanging_absorber_panels_2,0.2,0.3,0.6,0.75,0.7,0.7,0.0,"Default residential wall: reflective/semi_reflective gypsum/plaster/concrete. Use absorptive/highly_absorptive only when VLM detects acoustic panel, soft wall, or heavy wall treatment."
wall,wall,microperforated_foil_kaefer,microperforated foil “Microsorber” (Kaefer),acoustic_treatment,perforated_panel_absorber,highly_absorptive,0.7067,0.635,pyroom,microperforated_foil_kaefer,0.06,0.28,0.7,0.68,0.74,0.53,0.0,"Default residential wall: reflective/semi_reflective gypsum/plaster/concrete. Use absorptive/highly_absorptive only when VLM detects acoustic panel, soft wall, or heavy wall treatment."
wall,wall,acoustic_treatment_perforated_veneered_chipboard,"perforated veneered chipboard, 50 mm, 1 mm holes, 3 mm spacing, 9% hole surface ratio, 150 mm cavity filled with 30 mm mineral wool",wall,porous_fiber_absorber,highly_absorptive,0.6167,0.515,pyroom,perforated_veneered_chipboard,0.41,0.67,0.58,0.59,0.68,0.35,0.0,"Default residential wall: reflective/semi_reflective gypsum/plaster/concrete. Use absorptive/highly_absorptive only when VLM detects acoustic panel, soft wall, or heavy wall treatment."
wall,wall,rockwool_50mm_40kgm3,"rockwool thickness = 50 mm, 40 kg/m3",wall,porous_fiber_absorber,highly_absorptive,0.86,0.86,pyroom,rockwool_50mm_40kgm3,0.23,0.59,0.86,0.86,0.86,0.86,0.86,"Default residential wall: reflective/semi_reflective gypsum/plaster/concrete. Use absorptive/highly_absorptive only when VLM detects acoustic panel, soft wall, or heavy wall treatment."
wall,wall,rockwool_50mm_80kgm3,"rockwool thickness = 50 mm, 80 kg/m3",wall,porous_fiber_absorber,highly_absorptive,0.9,0.88,pyroom,rockwool_50mm_80kgm3,0.22,0.6,0.92,0.9,0.88,0.88,0.88,"Default residential wall: reflective/semi_reflective gypsum/plaster/concrete. Use absorptive/highly_absorptive only when VLM detects acoustic panel, soft wall, or heavy wall treatment."
wall,wall,odeon_mineral_wool_ecophon_ecophon_access_a_f4e1f3,Ecophon - Access A - Absorption class: A,acoustic_treatment,porous_fiber_absorber,highly_absorptive,0.9167,0.85,odeon,Access A,0.5,0.85,0.95,0.9,0.9,0.8,0.0,"Default residential wall: reflective/semi_reflective gypsum/plaster/concrete. Use absorptive/highly_absorptive only when VLM detects acoustic panel, soft wall, or heavy wall treatment."
wall,wall,odeon_mineral_wool_ecophon_ecophon_access_c_642c82,Ecophon - Access C - Absorption class: A,acoustic_treatment,porous_fiber_absorber,highly_absorptive,0.8833,0.95,odeon,Access C,0.45,0.8,0.85,0.85,0.95,0.95,0.0,"Default residential wall: reflective/semi_reflective gypsum/plaster/concrete. Use absorptive/highly_absorptive only when VLM detects acoustic panel, soft wall, or heavy wall treatment."
wall,wall,odeon_mineral_wool_ecophon_ecophon_access_e_b60095,Ecophon - Access E - Absorption class: A,acoustic_treatment,porous_fiber_absorber,highly_absorptive,0.9,0.925,odeon,Access E,0.4,0.85,0.9,0.85,0.95,0.9,0.0,"Default residential wall: reflective/semi_reflective gypsum/plaster/concrete. Use absorptive/highly_absorptive only when VLM detects acoustic panel, soft wall, or heavy wall treatment."
floor,floor,floor_concrete_floor,concrete floor,floor,hard_masonry_reflective,reflective,0.03,0.02,pyroom,concrete_floor,0.01,0.03,0.05,0.02,0.02,0.02,0.02,"If VLM sees rug/carpet, sample carpet_floor_absorber; otherwise use wood/tile/concrete reflective materials."
floor,floor,floor_linoleum_on_concrete,"linoleum, asphalt, rubber, or cork tile on concrete",floor,carpet_floor_absorber,reflective,0.03,0.025,pyroom,linoleum_on_concrete,0.02,0.03,0.03,0.03,0.03,0.02,0.0,"If VLM sees rug/carpet, sample carpet_floor_absorber; otherwise use wood/tile/concrete reflective materials."
floor,floor,floor_marble_floor,marble floor,floor,hard_masonry_reflective,reflective,0.0167,0.02,pyroom,marble_floor,0.01,0.01,0.01,0.02,0.02,0.02,0.02,"If VLM sees rug/carpet, sample carpet_floor_absorber; otherwise use wood/tile/concrete reflective materials."
floor,floor,surface_hard_surface_avg,"walls, hard surfaces average (brick walls, plaster, hard floors, etc.)",floor,hard_masonry_reflective,reflective,0.0333,0.0467,pyroom,hard_surface,0.02,0.02,0.03,0.03,0.04,0.05,0.05,"If VLM sees rug/carpet, sample carpet_floor_absorber; otherwise use wood/tile/concrete reflective materials."
